from,to,pos,ht,wt,dob,college
1993,1995,G,6-5,200,February 1, 1969,University of Minnesota
1997,1997,G,6-4,185,April 27, 1970,University of Nevada, Las Vegas
1965,1968,F,6-5,192,May 31, 1942,University of Cincinnati
1991,1996,F,6-8,215,June 8, 1968,Saint Louis University
2005,2016,F,6-10,235,April 5, 1980,University of Florida
1970,1970,C,6-10,230,July 20, 1945,Cheyney University of Pennsylvania
2016,2018,G,6-6,206,October 30, 1996,University of Kentucky
1996,1997,G,6-1,185,August 20, 1972,University of Missouri
2011,2018,F,6-8,228,November 25, 1987,Clemson University
2007,2010,F-C,6-10,237,November 21, 1984,University of Connecticut
1969,1981,G-F,6-2,200,September 6, 1946,Idaho State University
2000,2009,C,6-11,230,May 7, 1976,Pennsylvania State University
1998,1999,F,6-6,226,October 9, 1974,University of Maryland
1961,1971,F,6-8,215,April 26, 1937,Kansas State University
2003,2015,F-C,6-9,258,November 20, 1981,Duke University
2004,2005,C,7-0,240,September 13, 1980,Stanford University
1949,1950,F-C,6-5,200,June 29, 1927,Muhlenberg College
2000,2000,F,6-8,220,September 20, 1972,
1951,1951,C-F,6-8,220,July 25, 1924,Temple University
1950,1954,F,6-5,210,March 11, 1927,University of Denver
2004,2016,F-C,6-11,235,March 24, 1984,Georgia Institute of Technology
1978,1978,F,6-7,225,January 28, 1953,New Mexico State University
1980,1980,F,6-8,225,May 18, 1956,University of Maryland
1976,1984,F-C,6-9,220,October 2, 1953,University of South Carolina
2002,2004,C,7-0,257,May 20, 1978,Georgetown University
1950,1953,F-G,6-4,210,March 6, 1925,Western Michigan University
2000,2002,F,6-10,245,March 31, 1977,Old Dominion University
1997,2009,F,6-7,185,June 14, 1971,California State University, Fullerton
2000,2010,F,6-7,215,November 20, 1975,University of Iowa
1968,1970,F-C,6-8,220,July 7, 1940,Grambling State University
1989,1998,G-F,6-6,190,November 9, 1963,University of Oklahoma
1985,1995,C-F,7-1,235,March 17, 1961,University of Kentucky
1968,1968,C,6-10,215,March 21, 1939,University of Tennessee
2000,2002,G,6-5,195,June 11, 1973,University of Pennsylvania
1967,1972,C,6-10,230,March 19, 1943,Wichita State University
1996,1997,G,6-5,196,September 2, 1973,University of Colorado
1979,1979,G,6-1,175,May 21, 1954,University of Detroit Mercy
1973,1978,G,6-2,180,June 13, 1950,Oregon State University
1975,1975,F,6-5,195,March 25, 1952,Boston University
1999,2012,G,5-5,135,June 2, 1976,Eastern Michigan University
1950,1951,C,6-10,225,July 24, 1922,St. John's University
1979,1981,G-F,6-6,185,May 17, 1957,University of San Francisco
2007,2007,G,6-6,207,March 7, 1983,University of California, Los Angeles
1973,1975,G,6-1,175,August 1, 1950,University of Tulsa
2011,2012,F,6-10,230,October 9, 1987,Iowa State University
1965,1971,F,6-8,210,July 26, 1942,Ohio State University
1982,1982,F,6-6,215,October 30, 1959,Villanova University
1978,1980,F,6-6,190,October 16, 1953,Texas Southern University
2011,2018,G,6-2,180,November 26, 1990,University of Texas at Austin
1968,1968,G,5-11,165,June 16, 1941,
1968,1977,F-G,6-5,205,July 28, 1943,Princeton University
1982,1984,G,6-5,215,May 16, 1959,University of Wyoming
1980,1989,G-F,6-6,195,March 19, 1957,University of North Carolina
1974,1976,F,6-8,215,March 16, 1952,Northern Illinois University
1950,1950,G,6-3,175,September 24, 1928,Oklahoma State University
2002,2006,F-C,6-10,245,April 18, 1979,Villanova University
1994,2005,C,7-6,235,March 22, 1972,Brigham Young University
1997,1997,C-F,6-10,265,September 27, 1968,
1996,1996,F,6-8,230,March 24, 1970,Providence College
2004,2005,F,6-8,245,May 15, 1976,Xavier University
2000,2000,C,6-10,227,January 10, 1977,University of Arizona
1987,1990,F-G,6-7,185,November 17, 1963,University of Maryland
2000,2016,F,6-8,275,March 11, 1979,Duke University
1992,2002,G,5-11,180,May 20, 1970,University of Oregon
1950,1955,F-C,6-5,215,May 28, 1925,Michigan State University
1982,1983,C-F,6-10,220,September 24, 1958,Southern Methodist University
1966,1968,F,6-7,195,January 7, 1942,Elon University
1953,1953,G,6-1,170,February 3, 1931,New York University
1978,1986,G,6-2,185,October 17, 1955,Stanford University
1948,1962,G-F,6-5,180,September 25, 1927,Colgate University
1995,1998,F,6-7,215,September 19, 1970,University of Wyoming
2003,2004,G,6-2,185,September 19, 1980,St. Bonaventure University
1959,1959,F,6-6,205,September 23, 1936,University of North Carolina
1955,1955,F,6-3,195,August 6, 1930,Villanova University
1984,1994,C,7-3,230,October 11, 1960,University of Minnesota
